filename,flair_dice,flair_sens,flair_prec,t1c_dice,t1c_sens,t1c_prec,t2_dice,t2_sens,t2_prec,fus2_dice,fus2_sens,fus2_prec,fus3_dice,fus3_sens,fus3_prec
BRATS_385.nii.gz,0.532,0.363,1.000,0.001,0.000,1.000,0.775,0.635,0.994,0.370,0.245,0.760,0.595,0.425,0.992
BRATS_386.nii.gz,0.722,0.947,0.584,0.608,0.509,0.754,0.668,0.686,0.652,0.672,0.920,0.529,0.696,0.954,0.548
BRATS_387.nii.gz,0.623,0.453,0.998,0.702,0.670,0.738,0.598,0.431,0.979,0.403,0.252,1.000,0.399,0.249,1.000
BRATS_388.nii.gz,0.881,0.816,0.958,0.377,0.232,1.000,0.858,0.768,0.972,0.899,0.927,0.873,0.916,0.888,0.946
BRATS_389.nii.gz,0.921,0.975,0.872,0.600,0.642,0.563,0.515,0.591,0.457,0.500,0.925,0.343,0.947,0.947,0.947
BRATS_390.nii.gz,0.909,0.929,0.890,0.453,0.957,0.297,0.812,0.683,1.000,0.356,1.000,0.216,0.895,0.816,0.991
BRATS_391.nii.gz,0.934,0.937,0.931,0.001,0.000,1.000,0.458,0.297,1.000,0.577,0.989,0.407,0.809,0.680,0.999
BRATS_392.nii.gz,0.823,0.763,0.892,0.802,0.698,0.944,0.599,0.619,0.580,0.843,0.758,0.950,0.785,0.664,0.960
BRATS_393.nii.gz,0.891,0.866,0.919,0.511,0.402,0.701,0.783,0.731,0.841,0.870,0.859,0.881,0.888,0.870,0.907
BRATS_394.nii.gz,0.892,0.960,0.833,0.799,0.666,1.000,0.715,0.626,0.833,0.879,0.937,0.828,0.900,0.946,0.857
BRATS_395.nii.gz,0.797,0.663,1.000,0.726,0.600,0.921,0.679,0.527,0.954,0.791,0.693,0.921,0.759,0.612,1.000
BRATS_396.nii.gz,0.827,0.705,1.000,0.001,0.000,1.000,0.731,0.804,0.670,0.915,0.871,0.964,0.848,0.737,0.999
BRATS_397.nii.gz,0.917,0.861,0.982,0.001,0.000,1.000,0.536,0.366,1.000,0.780,0.949,0.661,0.897,0.891,0.904
BRATS_398.nii.gz,0.774,0.632,0.999,0.001,0.000,1.000,0.726,0.606,0.906,0.744,0.730,0.759,0.809,0.681,0.997
BRATS_399.nii.gz,0.898,0.837,0.969,0.001,0.000,1.000,0.588,0.417,0.996,0.948,0.928,0.969,0.955,0.936,0.975
BRATS_400.nii.gz,0.845,0.931,0.774,0.697,0.539,0.987,0.392,0.244,1.000,0.485,0.974,0.323,0.859,0.965,0.774
